"&hyphen;"			"-",
"&boxvL;"			        "&#x02561;",
"&boxVr;"			        "&#x0255F;",
"&boxvR;"			        "&#x0255E;",
"&boxvr;"			        "&#x0251C;",
"&boxVR;"			        "&#x02560;",
"&breve;"			        "&#x002D8;",
"&breve;"						"&#x0030C;",
"&brvbar;"		            "&#x000A6;",
"&bsim;"			        "&#x0223D;",
"&bsol;"			        "&#x0005C;",
"&bsolhsub;"		        "&#x0005C;&#x02282;",
"&bull;"			        "&#x02022;",
"&cacute;"		            "&#x00107;",
"&Cacute;"		            "&#x00106;",
"&cap;"			            "&#x02229;",
"&caron;"			        "&#x002C7;",
"&Ccaron;"		            "&#x0010C;",
"&ccaron;"		            "&#x0010D;",
"&Ccedil;"		            "&#x000C7;",
"&ccedil;"		            "&#x000E7;",
"&Ccirc;"			        "&#x00108;",
"&ccirc;"			        "&#x00109;",
"&cdot;"			        "&#x0010B;",
"&Cdot;"			        "&#x0010A;",
"&cedil;"			        "&#x000B8;",
"&cent;"			        "&#x000A2;",
"&chcy;"			        "&#x00447;",
"&CHcy;"			        "&#x00427;",
"&chi;"			            "&#x003C7;",
"&cir;"			            "&#x025CB;",
"&circ;"			        "&#x0005E;",
"&clubs;"			        "&#x02663;",
"&Colon;"			        "&#x02237;",
"&colon;"			        "&#x0003A;",
"&comma;"			        "&#x0002C;",
"&commat;"		            "&#x00040;",
"&conint;"		            "&#x0222E;",
"&copy;"			        "&#x000A9;",
"&COPY;"			        "&#x000A9;",
"&cross;"							"&#x02717;",
"&curren;"		            "&#x000A4;",
"&Dagger;"		            "&#x02021;",
"&dagger;"		            "&#x02020;",
"&darr;"			        "&#x02193;",
"&dblac;"			        "&#x002DD;",
"&Dcaron;"		            "&#x0010E;",
"&dcaron;"		            "&#x0010F;",
"&dcy;"			            "&#x00434;",
"&Dcy;"			            "&#x00414;",
"&deg;"			            "&#x000B0;",
"&delta;"			        "&#x003B4;",
"&Delta;"			        "&#x00394;",
"&diams;"			        "&#x02666;",
"&divide;"		            "&#x000F7;",
"&djcy;"			        "&#x00452;",
"&DJcy;"			        "&#x00402;",
"&dollar;"		            "&#x00024;",
"&dot;"			            "&#x002D9;",
"&DScy;"			        "&#x00405;",
"&dscy;"			        "&#x00455;",
"&Dstrok;"		            "&#x00110;",
"&dstrok;"		            "&#x00111;",
"&DZcy;"			        "&#x0040F;",
"&dzcy;"			        "&#x0045F;",
"&Eacgr;"			        "&#x00388;",
"&eacgr;"			        "&#x003AD;",
"&eacute;"		            "&#x000E9;",
"&Eacute;"		            "&#x000C9;",
"&ecaron;"		            "&#x0011B;",
"&Ecaron;"		            "&#x0011A;",
"&ecedil;"		            "&#x0229;",
"&ecirc;"			        "&#x000EA;",
"&Ecirc;"			        "&#x000CA;",
"&ecy;"			            "&#x0044D;",
"&Ecy;"			            "&#x0042D;",
"&Edot;"			        "&#x00116;",
"&edot;"			        "&#x00117;",
"&EEacgr;"		            "&#x00389;",
"&eeacgr;"		            "&#x003AE;",
"&EEgr;"			        "&#x00397;",
"&efDot;"			        "&#x02252;",
"&Egr;"			            "&#x00395;",
"&egrave;"		            "&#x000E8;",
"&Egrave;"		            "&#x000C8;",
"&ell;"			            "&#x02113;",
"&emacr;"			        "&#x00113;",
"&Emacr;"			        "&#x00112;",
"&eng;"			            "&#x0014B;",
"&ENG;"			            "&#x0014A;",
"&eogon;"			        "&#x00119;",
"&Eogon;"			        "&#x00118;",
"&epsi;"			        "&#x003B5;",
"&equals;"		            "&#x0003D;",
"&equiv;"			        "&#x02261;",
"&eta;"			            "&#x003B7;",
"&ETH;"			            "&#x000D0;",
"&eth;"			            "&#x000F0;",
"&Euml;"			        "&#x000CB;",
"&euml;"			        "&#x000EB;",
"&euro;"			        "&#x20AC;",
"&excl;"			        "&#x00021;",
"&exist;"			        "&#x02203;",
"&Fcy;"			            "&#x00424;",
"&fcy;"			            "&#x00444;",
"&female;"		            "&#x02640;",
"&filig;"			        "&#x0FB01;",
"&flat;"			        "&#x0266D;",
"&fllig;"			        "&#x0FB02;",
"&fnof;"			        "&#x00192;",
"&forall;"		            "&#x02200;",
"&frac12;"		            "&#x000BD;",
"&frac13;"		            "&#x02153;",
"&frac14;"		            "&#x000BC;",
"&frac18;"		            "&#x0215B;",
"&frac23;"		            "&#x02154;",
"&frac34;"		            "&#x000BE;",
"&frac38;"		            "&#x0215C;",
"&frac58;"		            "&#x0215D;",
"&frac78;"		            "&#x0215E;",
"&Gamma;"			        "&#x00393;",
"&gamma;"			        "&#x003B3;",
"&gbreve;"		            "&#x0011F;",
"&Gbreve;"		            "&#x0011E;",
"&Gcedil;"		            "&#x00122;",
"&gcirc;"			        "&#x0011D;",
"&Gcirc;"			        "&#x0011C;",
"&Gcy;"			            "&#x00413;",
"&gcy;"			            "&#x00433;",
"&Gdot;"			        "&#x00120;",
"&gdot;"			        "&#x00121;",
"&gE;"			            "&#x02267;",
"&ge;"			            "&#x02265;",
"&GJcy;"			        "&#x00403;",
"&gjcy;"			        "&#x00453;",
"&grave;"			        "&#x00060;",
"&Gt;"			            "&#x0226B;",
"&gt;"			            "&#x0003E;",
"&hardcy;"		            "&#x0044A;",
"&HARDcy;"		            "&#x0042A;",
"&harr;"			        "&#x02194;",
"&hArr;"			        "&#x021D4;",
"&Hcirc;"			        "&#x00124;",
"&hcirc;"			        "&#x00125;",
"&hearts;"				    "&#x2665;",  
"&heartsuit;"		        "&#x02661;",
"&hellip;"		            "&#x02026;",
"&horbar;"		            "&#x02015;",
"&Hstrok;"		            "&#x00126;",
"&hstrok;"		            "&#x00127;",
"&iacgr;"			        "&#x003AF;",
"&Iacgr;"			        "&#x0038A;",
"&iacute;"		            "&#x000ED;",
"&Iacute;"		            "&#x000CD;",
"&icirc;"			        "&#x000EE;",
"&Icirc;"			        "&#x000CE;",
"&icy;"			            "&#x00438;",
"&Icy;"			            "&#x00418;",
"&idiagr;"		            "&#x00390;",
"&idigr;"			        "&#x003CA;",
"&Idigr;"			        "&#x003AA;",
"&Idot;"			        "&#x00130;",
"&IEcy;"			        "&#x00415;",
"&iecy;"			        "&#x00435;",
"&iexcl;"			        "&#x000A1;",
"&Igr;"			            "&#x00399;",
"&igrave;"		            "&#x000EC;",
"&Igrave;"		            "&#x000CC;",
"&IJlig;"			        "&#x00132;",
"&ijlig;"			        "&#x00133;",
"&Imacr;"			        "&#x0012A;",
"&imacr;"			        "&#x0012B;",
"&isin;"			            "&#x02208;",
"&incare;"		            "&#x02105;",
"&infin;"			        "&#x0221E;",
"&inodot;"		            "&#x00131;",
"&int;"			            "&#x0222B;",
"&Int;"			            "&#x0222C;",
"&IOcy;"			        "&#x00401;",
"&iocy;"			        "&#x00451;",
"&Iogon;"			        "&#x0012E;",
"&iogon;"			        "&#x0012F;",
"&iota;"			        "&#x003B9;",
"&iquest;"		            "&#x000BF;",
"&itilde;"		            "&#x00129;",
"&Itilde;"		            "&#x00128;",
"&iukcy;"			        "&#x00456;",
"&Iukcy;"			        "&#x00406;",
"&iuml;"			        "&#x000EF;",
"&Iuml;"			        "&#x000CF;",
"&jcirc;"			        "&#x00135;",
"&Jcirc;"			        "&#x00134;",
"&jcy;"			            "&#x00439;",
"&Jcy;"			            "&#x00419;",
"&Jsercy;"		            "&#x00408;",
"&jsercy;"		            "&#x00458;",
"&jukcy;"			        "&#x00454;",
"&Jukcy;"			        "&#x00404;",
"&kappa;"			        "&#x003BA;",
"&kcedil;"		            "&#x00137;",
"&Kcedil;"		            "&#x00136;",
"&Kcy;"			            "&#x0041A;",
"&kcy;"			            "&#x0043A;",
"&Kgr;"			            "&#x0039A;",
"&kgreen;"		            "&#x00138;",
"&khcy;"			        "&#x00445;",
"&KHcy;"			        "&#x00425;",
"&KHgr;"			        "&#x003A7;",
"&KJcy;"			        "&#x0040C;",
"&kjcy;"			        "&#x0045C;",
"&Lacute;"		            "&#x00139;",
"&lacute;"		            "&#x0013A;",
"&Lambda;"		            "&#x0039B;",
"&lambda;"		            "&#x003BB;",
"&Lang;"			        "&#x0300A;",
"&laquo;"			        "&#x000AB;",
"&larr;"			        "&#x02190;",
"&lbbrk;"			        "&#x03014;",
"&Lcaron;"		            "&#x0013D;",
"&lcaron;"		            "&#x0013E;",
"&lcedil;"		            "&#x0013C;",
"&Lcedil;"		            "&#x0013B;",
"&lcub;"			        "&#x0007B;",
"&lcy;"			            "&#x0043B;",
"&Lcy;"			            "&#x0041B;",
"&ldquo;"			        "&#x0201C;",
"&ldquor;"		            "&#x0201E;",
"&le;"			            "&#x02264;",
"&lE;"			            "&#x02266;",
"&lhblk;"			        "&#x02584;",
"&ljcy;"			        "&#x00459;",
"&LJcy;"			        "&#x00409;",
"&Lmidot;"		            "&#x0013F;",
"&lmidot;"		            "&#x00140;",
"&lobrk;"			        "&#x0301A;",
"&lopar;"			        "&#x03018;",
"&lowbar;"		            "&#x0005F;",
"&loz;"			            "&#x025CA;",
"&lpar;"			        "&#x00028;",
"&lrtri;"			        "&#x022BF;",
"&lsqb;"			        "&#x0005B;",
"&lsquo;"			        "&#x02018;",
"&lsquor;"		            "&#x0201A;",
"&lstrok;"		            "&#x00142;",
"&Lstrok;"		            "&#x00141;",
"&lt;"			            "&#x0003C;",
"&Lt;"			            "&#x0226A;",
"&macr;"			        "&#x000AF;",
"&male;"			        "&#x02642;",
"&Mcy;"			            "&#x0041C;",
"&mcy;"			            "&#x0043C;",
"&mdash;"			        "&#x02014;",
"&Mgr;"			            "&#x0039C;",
"&micro;"			        "&#x000B5;",
"&mid;"			            "&#x02223;",
"&middot;"		            "&#x000B7;",
"&minus;"			        "&#x02212;",
"&mu;"			            "&#x003BC;",
"&nabla;"			        "&#x02207;",
"&nacute;"		            "&#x00144;",
"&Nacute;"		            "&#x00143;",
"&napos;"			        "&#x00149;",
"&ncaron;"		            "&#x00148;",
"&Ncaron;"		            "&#x00147;",
"&Ncedil;"		            "&#x00145;",
"&ncedil;"		            "&#x00146;",
"&ncy;"			            "&#x0043D;",
"&Ncy;"			            "&#x0041D;",
"&ndash;"			        "&#x02013;",
"&ne;"			            "&#x02260;",
"&nearr;"			        "&#x02197;",
"&Ngr;"			            "&#x0039D;",
"&ngt;"			            "&#x0226F;",
"&ni;"			            "&#x0220B;",
"&njcy;"			        "&#x0045A;",
"&NJcy;"			        "&#x0040A;",
"&nlt;"			            "&#x0226E;",
"&not;"			            "&#x000AC;",
"&Ntilde;"		            "&#x000D1;",
"&ntilde;"		            "&#x000F1;",
"&nu;"			            "&#x003BD;",
"&num;"			            "&#x00023;",
"&numero;"		            "&#x02116;",
"&nwarr;"			        "&#x02196;",
"&oacgr;"			        "&#x003CC;",
"&Oacgr;"			        "&#x0038C;",
"&oacute;"		            "&#x000F3;",
"&Oacute;"		            "&#x000D3;",
"&Ocirc;"			        "&#x000D4;",
"&ocirc;"			        "&#x000F4;",
"&Ocy;"			            "&#x0041E;",
"&ocy;"			            "&#x0043E;",
"&Odblac;"		            "&#x00150;",
"&odblac;"		            "&#x00151;",
"&odot;"			        "&#x02299;",
"&OElig;"			        "&#x00152;",
"&oelig;"			        "&#x00153;",
"&ogon;"			        "&#x002DB;",
"&Ogr;"			            "&#x0039F;",
"&ogr;"			            "&#x003BF;",
"&Ograve;"		            "&#x000D2;",
"&ograve;"		            "&#x000F2;",
"&OHacgr;"		            "&#x0038F;",
"&ohacgr;"		            "&#x003CE;",
"&ohm;"			            "&#x02126;",
"&omacr;"			        "&#x0014D;",
"&Omacr;"			        "&#x0014C;",
"&omega;"			        "&#x003C9;",
"&Omega;"			        "&#x003A9;",
"&Omicron;"				    "&#927;",   
"&omicron;"				    "&#959;",   
"&oplus;"			        "&#x02295;",
"&or;"			            "&#x02228;",
"&ordf;"			        "&#x000AA;",
"&ordm;"			        "&#x000BA;",
"&oslash;"		            "&#x000F8;",
"&Oslash;"		            "&#x000D8;",
"&Otilde;"		            "&#x000D5;",
"&otilde;"		            "&#x000F5;",
"&ouml;"			        "&#x000F6;",
"&Ouml;"			        "&#x000D6;",
"&OverBrace;"		        "&#x0FE37;",
"&OverParenthesis;"	        "&#x0FE35;",
"&par;"			            "&#x02225;",
"&para;"			        "&#x000B6;",
"&part;"			        "&#x02202;",
"&Pcy;"			            "&#x0041F;",
"&pcy;"			            "&#x0043F;",
"&percnt;"		            "&#x00025;",
"&period;"		            "&#x0002E;",
"&permil;"		            "&#x02030;",
"&perp;"			        "&#x022A5;",
"&phi;"			        "&#x003C6;",
"&Phi;"			            "&#x003A6;",
"&phone;"			        "&#x0260E;",
"&pi;"			            "&#x003C0;",
"&Pi;"			            "&#x003A0;",
"&plus;"			        "&#x0002B;",
"&plusmn;"		            "&#x000B1;",
"&pound;"			        "&#x000A3;",
"&prime;"			        "&#x02032;",
"&Prime;"			        "&#x02033;",
"&prod;"			        "&#x0220F;",
"&profline;"		        "&#x02312;",
"&prop;"			        "&#x0221D;",
"&Psi;"			            "&#x003A8;",
"&psi;"			            "&#x003C8;",
"&quest;"			        "&#x0003F;",
"&quot;"			        "&#x00022;",
"&racute;"		            "&#x00155;",
"&Racute;"		            "&#x00154;",
"&radic;"			        "&#x0221A;",
"&Rang;"			        "&#x0300B;",
"&raquo;"			        "&#x000BB;",
"&rArr;"			        "&#x021D2;",
"&rarr;"			        "&#x02192;",
"&ratio;"			        "&#x02236;",
"&rbbrk;"			        "&#x03015;",
"&rcaron;"		            "&#x00159;",
"&Rcaron;"		            "&#x00158;",
"&rcedil;"		            "&#x00157;",
"&Rcedil;"		            "&#x00156;",
"&rcub;"			        "&#x0007D;",
"&Rcy;"			            "&#x00420;",
"&rcy;"			            "&#x00440;",
"&rdquo;"			        "&#x0201D;",
"&reg;"			            "&#x000AE;",
"&Rgr;"			            "&#x003A1;",
"&rho;"			            "&#x003C1;",
"&ring;"			        "&#x002DA;",
"&robrk;"			        "&#x0301B;",
"&ropar;"			        "&#x03019;",
"&rpar;"			        "&#x00029;",
"&rsqb;"			        "&#x0005D;",
"&rsquo;"			        "&#x02019;",
"&Sacute;"		            "&#x0015A;",
"&sacute;"		            "&#x0015B;",
"&scaron;"		            "&#x00161;",
"&Scaron;"		            "&#x00160;",
"&Scedil;"		            "&#x0015E;",
"&scedil;"		            "&#x0015F;",
"&scirc;"			        "&#x0015D;",
"&Scirc;"			        "&#x0015C;",
"&scy;"			            "&#x00441;",
"&Scy;"			            "&#x00421;",
"&searr;"			        "&#x02198;",
"&sect;"			        "&#x000A7;",
"&semi;"			        "&#x0003B;",
"&sharp;"			        "&#x0266F;",
"&SHCHcy;"		            "&#x00429;",
"&shchcy;"		            "&#x00449;",
"&shcy;"			        "&#x00448;",
"&SHcy;"			        "&#x00428;",
"&Sigma;"			        "&#x003A3;",
"&sigma;"			        "&#x003C3;",
"&sigmf;"			        "&#962;",   
"&sigmav;"		            "&#x003C2;",
"&sim;"			            "&#x0223C;",
"&softcy;"		            "&#x0044C;",
"&SOFTcy;"		            "&#x0042C;",
"&sol;"			            "&#x0002F;",
"&spadesuit;"		        "&#x02660;",
"&squ;"			            "&#x025A1;",
"&squarf;"		            "&#x025AA;",
"&starf;"			        "&#x02605;",
"&sub;"			            "&#x02282;",
"&sube;"			        "&#x02286;",
"&sum;"			            "&#x02211;",
"&sung;"			        "&#x0266A;",
"&sup;"			            "&#x02283;",
"&sup1;"			        "&#x000B9;",
"&sup2;"			        "&#x000B2;",
"&sup3;"			        "&#x000B3;",
