"&hyphen;"			"-",
"&circleddash;"				"&#x0229D;",
"&CircleDot;"				"&#x02299;",
"&circledR;"				"&#x000AE;",
"&circledS;"				"&#x024C8;",
"&CircleMinus;"				"&#x02296;",
"&CirclePlus;"				"&#x02295;",
"&CircleTimes;"				"&#x02297;",
"&cire;"							"&#x02257;",
"&cirE;"							"&#x029C3;",
"&cirfnint;"						"&#x02A10;",
"&cirmid;"							"&#x02AEF;",
"&cirscir;"							"&#x029C2;",
"&ClockwiseContourIntegral;"		"&#x02232;",
"&CloseCurlyDoubleQuote;"			"&#x0201D;",
"&CloseCurlyQuote;"					"&#x02019;",
"&Colone;"							"&#x02A74;",
"&colone;"							"&#x02254;",
"&coloneq;"							"&#x02254;",
"&comp;"							"&#x02201;",
"&compfn;"							"&#x02218;",
"&complement;"						"&#x02201;",
"&cong;"							"&#x02245;",
"&congdot;"							"&#x02A6D;",
"&Congruent;"						"&#x02261;",
"&Conint;"							"&#x0222F;",
"&ContourIntegral;"					"&#x0222E;",
"&Copf;"							"&#x02102;",
"&copf;"							"&#x1D554;",
"&coprod;"							"&#x02210;",
"&Coproduct;"						"&#x02210;",
"&copysr;"							"&#x02117;",
"&CounterClockwiseContourIntegral;"	"&#x02233;",
"&Cross;"							"&#x02A2F;",
"&cscr;"							"&#x1D4B8;",
"&Cscr;"							"&#x1D49E;",
"&csub;"							"&#x02ACF;",
"&csube;"							"&#x02AD1;",
"&csup;"							"&#x02AD0;",
"&csupe;"							"&#x02AD2;",
"&ctdot;"							"&#x022EF;",
"&cudarrl;"							"&#x02938;",
"&cudarrr;"							"&#x02935;",
"&cuepr;"							"&#x022DE;",
"&cuesc;"							"&#x022DF;",
"&cularr;"							"&#x021B6;",
"&cularrp;"							"&#x0293D;",
"&Cup;"								"&#x022D3;",
"&cupbrcap;"						"&#x02A48;",
"&CupCap;"							"&#x0224D;",
"&cupcap;"							"&#x02A46;",
"&cupcup;"							"&#x02A4A;",
"&cupdot;"							"&#x0228D;",
"&cupor;"							"&#x02A45;",
"&cups;"							"&#x0222A;&#x0FE00;",
"&cup;" 							"&#x0222A;",
"&curarr;"							"&#x021B7;",
"&curarrm;"							"&#x0293C;",
"&curlyeqprec;"						"&#x022DE;",
"&curlyeqsucc;"						"&#x022DF;",
"&curlyvee;"						"&#x022CE;",
"&curlywedge;"						"&#x022CF;",
"&curvearrowleft;"					"&#x021B6;",
"&curvearrowright;"					"&#x021B7;",
"&cuvee;"							"&#x022CE;",
"&cuwed;"							"&#x022CF;",
"&cwconint;"						"&#x02232;",
"&cwint;"							"&#x02231;",
"&cylcty;"							"&#x0232D;",
"&daleth;"							"&#x02138;",
"&dArr;"							"&#x021D3;",
"&Darr;"							"&#x021A1;",
"&Dashv;"							"&#x02AE4;",
"&dashv;"							"&#x022A3;",
"&dbkarow;"							"&#x0290F;",
"&DD;"								"&#x02145;",
"&ddagger;"							"&#x02021;",
"&ddarr;"							"&#x021CA;",
"&DDotrahd;"						"&#x02911;",
"&ddotseq;"							"&#x02A77;",
"&Del;"								"&#x02207;",
"&demptyv;"							"&#x029B1;",
"&dfisht;"							"&#x0297F;",
"&dfr;"								"&#x1D521;",
"&Dfr;"								"&#x1D507;",
"&dHar;"							"&#x02965;",
"&dharl;"							"&#x021C3;",
"&dharr;"							"&#x021C2;",
"&DiacriticalAcute;"				"&#x000B4;",
"&DiacriticalDot;"					"&#x002D9;",
"&DiacriticalDoubleAcute;"			"&#x002DD;",
"&DiacriticalGrave;"				"&#x00060;",
"&DiacriticalTilde;"				"&#x002DC;",
"&diam;"							"&#x022C4;",
"&Diamond;"							"&#x022C4;",
"&diamond;"							"&#x022C4;",
"&DifferentialD;"					"&#x02146;",
"&digamma;"							"&#x003DD;",
"&disin;"							"&#x022F2;",
"&div;"								"&#x000F7;",
"&divideontimes;"					"&#x022C7;",
"&divonx;"							"&#x022C7;",
"&dlcorn;"							"&#x0231E;",
"&dlcrop;"							"&#x0230D;",
"&Dopf;"							"&#x1D53B;",
"&dopf;"							"&#x1D555;",
"&DotDot;"							"&#x020DC;",
"&doteq;"							"&#x02250;",
"&doteqdot;"						"&#x02251;",
"&DotEqual;"						"&#x02250;",
"&dotminus;"						"&#x02238;",
"&dotplus;"							"&#x02214;",
"&dotsquare;"						"&#x022A1;",
"&doublebarwedge;"					"&#x02306;",
"&DoubleContourIntegral;"			"&#x0222F;",
"&DoubleDot;"						"&#x000A8;",
"&DoubleDownArrow;"					"&#x021D3;",
"&DoubleLeftArrow;"					"&#x021D0;",
"&DoubleLeftRightArrow;"			"&#x021D4;",
"&DoubleLeftTee;"					"&#x02AE4;",
"&DoubleLongLeftArrow;"				"&#x027F8;",
"&DoubleLongLeftRightArrow;"		"&#x027FA;",
"&DoubleLongRightArrow;"			"&#x027F9;",
"&DoubleRightArrow;"				"&#x021D2;",
"&DoubleRightTee;"					"&#x022A8;",
"&DoubleUpArrow;"					"&#x021D1;",
"&DoubleUpDownArrow;"				"&#x021D5;",
"&DoubleVerticalBar;"				"&#x02225;",
"&downarrow;"						"&#x02193;",
"&Downarrow;"						"&#x021D3;",
"&DownArrow;"						"&#x02193;",
"&DownArrowBar;"					"&#x02913;",
"&DownArrowUpArrow;"				"&#x021F5;",
"&DownBreve;"						"&#x00311;",
"&downdownarrows;"					"&#x021CA;",
"&downharpoonleft;"					"&#x021C3;",
"&downharpoonright;"				"&#x021C2;",
"&DownLeftRightVector;"				"&#x02950;",
"&DownLeftTeeVector;"				"&#x0295E;",
"&DownLeftVector;"					"&#x021BD;",
"&DownLeftVectorBar;"				"&#x02956;",
"&DownRightTeeVector;"				"&#x0295F;",
"&DownRightVector;"					"&#x021C1;",
"&DownRightVectorBar;"				"&#x02957;",
"&DownTee;"							"&#x022A4;",
"&DownTeeArrow;"					"&#x021A7;",
"&drbkarow;"						"&#x02910;",
"&drcorn;"							"&#x0231F;",
"&drcrop;"							"&#x0230C;",
"&Dscr;"							"&#x1D49F;",
"&dscr;"							"&#x1D4B9;",
"&dsol;"							"&#x029F6;",
"&dtdot;"							"&#x022F1;",
"&dtri;"							"&#x025BF;",
"&dtrif;"							"&#x025BE;",
"&duarr;"							"&#x021F5;",
"&duhar;"							"&#x0296F;",
"&dwangle;"							"&#x029A6;",
"&dzigrarr;"						"&#x0F5A2;",
"&easter;"							"&#x0225B;",
"&ecir;"							"&#x02256;",
"&ecolon;"							"&#x02255;",
"&eDDot;"							"&#x02A77;",
"&eDot;"							"&#x02251;",
"&ee;"								"&#x02147;",
"&efr;"								"&#x1D522;",
"&Efr;"								"&#x1D508;",
"&eg;"								"&#x02A9A;",
"&egs;"								"&#x022DD;",
"&egsdot;"							"&#x02A98;",
"&el;"								"&#x02A99;",
"&Element;"							"&#x02208;",
"&els;"								"&#x022DC;",
"&elsdot;"							"&#x02A97;",
"&empty;"							"&#x02205;&#x0FE00;",
"&emptyset;"						"&#x02205;",
"&EmptySmallSquare;"				"&#x025FD;",
"&emptyv;"							"&#x02205;",
"&EmptyVerySmallSquare;"			"&#x0F59C;",
"&emsp;"							"&#x02003;",
"&emsp13;"							"&#x02004;",
"&emsp14;"							"&#x02005;",
"&ensp;"							"&#x02002;",
"&eopf;"							"&#x1D556;",
"&Eopf;"							"&#x1D53C;",
"&epar;"							"&#x022D5;",
"&eparsl;"							"&#x029E3;",
"&eplus;"							"&#x02A71;",
"&epsiv;"							"&#x0025B;",
"&eqcirc;"							"&#x02256;",
"&eqcolon;"							"&#x02255;",
"&eqsim;"							"&#x02242;",
"&eqslantgtr;"						"&#x02A96;",
"&eqslantless;"						"&#x02A95;",
"&Equal;"							"&#x02A75;",
"&EqualTilde;"						"&#x02242;",
"&equest;"							"&#x0225F;",
"&Equilibrium;"						"&#x021CC;",
"&equivDD;"							"&#x02A78;",
"&eqvparsl;"						"&#x029E5;",
"&erarr;"							"&#x02971;",
"&erDot;"							"&#x02253;",
"&escr;"							"&#x0212F;",
"&Escr;"							"&#x02130;",
"&esdot;"							"&#x02250;",
"&esim;"							"&#x02242;",
"&Esim;"							"&#x02A73;",
"&Exists;"							"&#x02203;",
"&fallingdotseq;"					"&#x02252;",
"&ffilig;"							"&#x0FB03;",
"&fflig;"							"&#x0FB00;",
"&ffllig;"							"&#x0FB04;",
"&Ffr;"								"&#x1D509;",
"&ffr;"								"&#x1D523;",
"&FilledSmallSquare;"				"&#x025FE;",
"&FilledVerySmallSquare;"				"&#x0F59B;",
"&fopf;"				"&#x1D557;",
"&Fopf;"				"&#x1D53D;",
"&ForAll;"				"&#x02200;",
"&fork;"				"&#x022D4;",
"&forkv;"				"&#x02AD9;",
"&fpartint;"				"&#x02A0D;",
"&frac15;"				"&#x02155;",
"&frac16;"				"&#x02159;",
"&frac25;"				"&#x02156;",
"&frac35;"				"&#x02157;",
"&frac45;"				"&#x02158;",
"&frac56;"				"&#x0215A;",
"&frown;"				"&#x02322;",
"&Fscr;"				"&#x02131;",
"&fscr;"				"&#x1D4BB;",
"&gacute;"				"&#x001F5;",
"&gammad;"				"&#x003DC;",
"&gap;"				"&#x02273;",
"&gel;"				"&#x022DB;",
"&geq;"				"&#x02265;",
"&geqq;"				"&#x02267;",
"&geqslant;"				"&#x02A7E;",
"&ges;"				"&#x02A7E;",
"&gescc;"				"&#x02AA9;",
"&gesdot;"				"&#x02A80;",
"&gesdoto;"				"&#x02A82;",
"&gesdotol;"				"&#x02A84;",
"&gesl;"				"&#x022DB;&#x0FE00;",
"&gesles;"				"&#x02A94;",
"&Gfr;"				"&#x1D50A;",
"&gfr;"				"&#x1D524;",
"&gg;"				"&#x0226B;",
"&Gg;"				"&#x022D9;",
"&ggg;"				"&#x022D9;",
"&gimel;"				"&#x02137;",
"&gl;"				"&#x02277;",
"&gla;"				"&#x02AA5;",
"&glE;"				"&#x02A92;",
"&glj;"				"&#x02AA4;",
"&gnap;"				"&#x02A8A;",
"&gnapprox;"				"&#x02A8A;",
"&gne;"				"&#x02269;",
"&gneq;"				"&#x02A88;",
"&gneqq;"				"&#x02269;",
"&gnsim;"				"&#x022E7;",
"&gopf;"				"&#x1D558;",
"&Gopf;"				"&#x1D53E;",
"&GreaterEqual;"				"&#x02265;",
"&GreaterEqualLess;"				"&#x022DB;",
"&GreaterFullEqual;"				"&#x02267;",
"&GreaterGreater;"				"&#x02AA2;",
"&GreaterLess;"				"&#x02277;",
"&GreaterSlantEqual;"				"&#x02A7E;",
"&GreaterTilde;"				"&#x02273;",
"&Gscr;"				"&#x1D4A2;",
"&gscr;"				"&#x0210A;",
"&gsime;"				"&#x02A8E;",
"&gsiml;"				"&#x02A90;",
"&gtcc;"				"&#x02AA7;",
"&gtcir;"				"&#x02A7A;",
"&gtdot;"				"&#x022D7;",
"&gtlPar;"				"&#x02995;",
"&gtquest;"				"&#x02A7C;",
"&gtrapprox;"				"&#x02A86;",
"&gtrarr;"				"&#x02978;",
"&gtrdot;"				"&#x022D7;",
"&gtreqless;"				"&#x022DB;",
"&gtreqqless;"				"&#x02A8C;",
"&gtrless;"				"&#x02277;",
"&gtrsim;"				"&#x02273;",
"&gvertneqq;"				"&#x02269;&#x0FE00;",
"&gvnE;"				"&#x02269;&#x0FE00;",
"&Hacek;"				"&#x002C7;",
"&hairsp;"				"&#x0200A;",
"&harrcir;"				"&#x02948;",
"&harrw;"				"&#x021AD;",
"&Hat;"				"&#x00302;",
"&hbar;"				"&#x0210F;",
"&hbensen;"				"<:Advent3B2:missing>",
"&hbensena;"				"<:Advent3B2:missing>",
"&hbensenb;"				"<:Advent3B2:missing>",
"&hbensenc;"				"<:Advent3B2:missing>",
"&hbensend;"				"<:Advent3B2:missing>",
"&hbensene;"				"<:Advent3B2:missing>",
"&hbensenf;"				"<:Advent3B2:missing>",
"&hbenseng;"				"<:Advent3B2:missing>",
"&hbensenh;"				"<:Advent3B2:missing>",
"&hbenseni;"				"<:Advent3B2:missing>",
"&hbensenj;"				"<:Advent3B2:missing>",
"&hbensenk;"				"<:Advent3B2:missing>",
"&hbensenl;"				"<:Advent3B2:missing>",
"&hbensenm;"				"<:Advent3B2:missing>",
"&hbensenn;"				"<:Advent3B2:missing>",
"&hbenseno;"				"<:Advent3B2:missing>",
"&hbensenp;"				"<:Advent3B2:missing>",
"&hbensenq;"				"<:Advent3B2:missing>",
"&hercon;"				"&#x022B9;",
"&hfr;"				"&#x1D525;",
"&Hfr;"				"&#x0210C;",
"&hksearow;"				"&#x02925;",
"&hkswarow;"				"&#x02926;",
"&hoarr;"				"&#x021FF;",
"&homtht;"				"&#x0223B;",
"&hookleftarrow;"				"&#x021A9;",
"&hookrightarrow;"				"&#x021AA;",
"&hopf;"				"&#x1D559;",
"&Hopf;"				"&#x0210D;",
"&hscr;"				"&#x1D4BD;",
"&Hscr;"				"&#x0210B;",
"&hslash;"				"&#x0210F;",
"&HumpDownHump;"				"&#x0224E;",
"&HumpEqual;"				"&#x0224F;",
"&hybull;"				"&#x02043;",
"&hyphen;"				"&#x02010;",
"&ic;"				"&#x0200B;",
"&Ifr;"				"&#x02111;",
"&ifr;"				"&#x1D526;",
"&ii;"				"&#x02148;",
"&iiiint;"				"&#x02A0C;",
"&iiint;"				"&#x0222D;",
"&iinfin;"				"&#x029DC;",
"&iiota;"				"&#x02129;",
"&Im;"				"&#x02111;",
"&imagpart;"				"&#x02111;",
"&imof;"				"&#x022B7;",
"&Implies;"				"&#x021D2;",
"&intcal;"				"&#x022BA;",
"&integers;"				"&#x02124;",
"&Integral;"				"&#x0222B;",
"&intercal;"				"&#x022BA;",
"&Intersection;"				"&#x022C2;",
"&intlarhk;"				"&#x02A17;",
"&intprod;"				"&#x02A3C;",
"&iopf;"				"&#x1D55A;",
"&Iopf;"				"&#x1D540;",
"&iprod;"				"&#x02A3C;",
"&Iscr;"				"&#x02110;",
"&iscr;"				"&#x1D4BE;",
"&isindot;"				"&#x022F5;",
"&isinE;"				"&#x022F9;",
"&isins;"				"&#x022F4;",
"&isinsv;"				"&#x022F3;",
"&it;"				"&#x02062;",
"&Jfr;"				"&#x1D50D;",
"&jfr;"				"&#x1D527;",
"&jmath;"				"&#x0006A;&#x0FE00;",
"&jopf;"				"&#x1D55B;",
"&Jopf;"				"&#x1D541;",
"&Jscr;"				"&#x1D4A5;",
"&jscr;"				"&#x1D4BF;",
"&kappav;"				"&#x003F0;",
"&kfr;"				"&#x1D528;",
"&Kfr;"				"&#x1D50E;",
"&Kopf;"				"&#x1D542;",
"&kopf;"				"&#x1D55C;",
"&Kscr;"				"&#x1D4A6;",
"&kscr;"				"&#x1D4C0;",
"&lAarr;"				"&#x021DA;",
"&laemptyv;"				"&#x029B4;",
"&lang;"				"&#x02329;",
"&langd;"				"&#x02991;",
"&langle;"				"&#x02329;",
"&Larr;"				"&#x0219E;",
"&lArr;"				"&#x021D0;",
"&larrb;"				"&#x021E4;",
"&larrbfs;"				"&#x0291F;",
"&larrfs;"				"&#x0291D;",
"&larrhk;"				"&#x021A9;",
"&larrlp;"				"&#x021AB;",
"&larrpl;"				"&#x02939;",
"&larrsim;"				"&#x02973;",
"&larrtl;"				"&#x021A2;",
"&lat;"				"&#x02AAB;",
"&lAtail;"				"&#x0291B;",
"&latail;"				"&#x02919;",
"&late;"				"&#x02AAD;",
"&lates;"				"&#x02AAD;&#x0FE00;",
"&lBarr;"				"&#x0290E;",
"&lbarr;"				"&#x0290C;",
"&lbrace;"				"&#x0007B;",
"&lbrack;"				"&#x0005B;",
"&lbrke;"				"&#x0298B;",
"&lbrksld;"				"&#x0298F;",
"&lbrkslu;"				"&#x0298D;",
"&lceil;"				"&#x02308;",
"&ldca;"				"&#x02936;",
"&ldrdhar;"				"&#x02967;",
"&ldrushar;"				"&#x0294B;",
"&ldsh;"				"&#x021B2;",
"&LeftAngleBracket;"				"&#x02329;",
"&LeftArrow;"				"&#x02190;",
"&Leftarrow;"				"&#x021D0;",
"&leftarrow;"				"&#x02190;",
"&LeftArrowBar;"				"&#x021E4;",
"&LeftArrowRightArrow;"				"&#x021C6;",
"&leftarrowtail;"				"&#x021A2;",
"&LeftCeiling;"				"&#x02308;",
"&LeftDownTeeVector;"				"&#x02961;",
"&LeftDownVector;"				"&#x021C3;",
"&LeftDownVectorBar;"				"&#x02959;",
"&LeftFloor;"				"&#x0230A;",
"&leftharpoondown;"				"&#x021BD;",
"&leftharpoonup;"				"&#x021BC;",
"&leftleftarrows;"				"&#x021C7;",
"&leftrightarrow;"				"&#x02194;",
"&Leftrightarrow;"				"&#x021D4;",
"&LeftRightArrow;"				"&#x02194;",
"&leftrightarrows;"				"&#x021C6;",
"&leftrightharpoons;"				"&#x021CB;",
"&leftrightsquigarrow;"				"&#x021AD;",
"&LeftRightVector;"				"&#x0294E;",
"&LeftTee;"				"&#x022A3;",
"&LeftTeeArrow;"				"&#x021A4;",
"&LeftTeeVector;"				"&#x0295A;",
"&leftthreetimes;"				"&#x022CB;",
"&LeftTriangle;"				"&#x022B2;",
"&LeftTriangleBar;"				"&#x029CF;",
"&LeftTriangleEqual;"				"&#x022B4;",
"&LeftUpDownVector;"				"&#x02951;",
"&LeftUpTeeVector;"				"&#x02960;",
"&LeftUpVector;"				"&#x021BF;",
"&LeftUpVectorBar;"				"&#x02958;",
"&LeftVector;"				"&#x021BC;",
"&LeftVectorBar;"				"&#x02952;",
"&leg;"				"&#x022DA;",
"&leq;"				"&#x02264;",
"&leqq;"				"&#x02266;",
"&leqslant;"				"&#x02A7D;",
"&les;"				"&#x02A7D;",
"&lescc;"				"&#x02AA8;",
"&lesdot;"				"&#x02A7F;",
"&lesdoto;"				"&#x02A81;",
"&lesdotor;"				"&#x02A83;",
"&lesg;"				"&#x022DA;&#x0FE00;",
"&lesges;"				"&#x02A93;",
"&lessapprox;"				"&#x02A85;",
"&lessdot;"				"&#x022D6;",
"&lesseqgtr;"				"&#x022DA;",
"&lesseqqgtr;"				"&#x02A8B;",
"&LessEqualGreater;"				"&#x022DA;",
"&LessFullEqual;"				"&#x02266;",
"&LessGreater;"				"&#x02276;",
"&lessgtr;"				"&#x02276;",
"&LessLess;"				"&#x02AA1;",
"&lesssim;"				"&#x02272;",
"&LessSlantEqual;"				"&#x02A7D;",
"&LessTilde;"				"&#x02272;",
"&lfisht;"				"&#x0297C;",
"&lfloor;"				"&#x0230A;",
"&lfr;"				"&#x1D529;",
"&Lfr;"				"&#x1D50F;",
"&lg;"				"&#x02276;",
"&lgE;"				"&#x02A91;",
"&lHar;"				"&#x02962;",
"&lhard;"				"&#x021BD;",
"&lharu;"				"&#x021BC;",
"&lharul;"				"&#x0296A;",
"&ll;"				"&#x0226A;",
"&Ll;"				"&#x022D8;",
"&llarr;"				"&#x021C7;",
"&llcorner;"				"&#x0231E;",
"&Lleftarrow;"				"&#x021DA;",
"&llhard;"				"&#x0296B;",
"&lltri;"				"&#x025FA;",
"&lmoust;"				"&#x023B0;",
"&lmoustache;"				"&#x023B0;",
"&lnap;"				"&#x02A89;",
"&lnapprox;"				"&#x02A89;",
"&lne;"				"&#x02268;",
"&lneq;"				"&#x02A87;",
"&lneqq;"				"&#x02268;",
"&lnsim;"				"&#x022E6;",
"&loang;"				"&#x0F558;",
"&loarr;"				"&#x021FD;",
"&Longleftarrow;"				"&#x027F8;",
"&longleftarrow;"				"&#x027F5;",
"&LongLeftArrow;"				"&#x027F5;",
"&longleftrightarrow;"				"&#x027F7;",
"&Longleftrightarrow;"				"&#x027FA;",
"&LongLeftRightArrow;"				"&#x027F7;",
"&longmapsto;"				"&#x027FC;",
"&LongRightArrow;"				"&#x027F6;",
"&Longrightarrow;"				"&#x027F9;",
"&longrightarrow;"				"&#x027F6;",
"&looparrowleft;"				"&#x021AB;",
"&looparrowright;"				"&#x021AC;",
"&lopf;"				"&#x1D55D;",
"&Lopf;"				"&#x1D543;",
"&loplus;"				"&#x02A2D;",
"&lotimes;"				"&#x02A34;",
"&lowast;"				"&#x02217;",
"&LowerLeftArrow;"				"&#x02199;",
"&LowerRightArrow;"				"&#x02198;",
"&lozenge;"				"&#x025CA;",
"&lozf;"				"&#x029EB;",
"&lparlt;"				"&#x02993;",
"&lrarr;"				"&#x021C6;",
"&lrcorner;"				"&#x0231F;",
"&lrhar;"				"&#x021CB;",
"&lrhard;"				"&#x0296D;",
"&Lscr;"				"&#x02112;",
"&lsh;"				"&#x021B0;",
"&Lsh;"				"&#x021B0;",
"&lsim;"				"&#x02272;",
"&lsime;"				"&#x02A8D;",
"&lsimg;"				"&#x02A8F;",
"&ltcc;"				"&#x02AA6;",
"&ltcir;"				"&#x02A79;",
"&ltdot;"				"&#x022D6;",
"&lthree;"				"&#x022CB;",
"&ltimes;"				"&#x022C9;",
"&ltlarr;"				"&#x02976;",
"&ltquest;"				"&#x02A7B;",
"&ltri;"				"&#x025C3;",
"&ltrie;"				"&#x022B4;",
"&ltrif;"				"&#x025C2;",
"&ltrPar;"				"&#x02996;",
"&lurdshar;"				"&#x0294A;",
"&luruhar;"				"&#x02966;",
"&lvertneqq;"				"&#x02268;&#x0FE00;",
"&lvnE;"				"&#x02268;&#x0FE00;",
"&malt;"				"&#x02720;",
"&maltese;"				"&#x02720;",
"&Map;"				"&#x02905;",
"&map;"				"&#x021A6;",
"&mapsto;"				"&#x021A6;",
"&mapstodown;"				"&#x021A7;",
"&mapstoleft;"				"&#x021A4;",
"&mapstoup;"				"&#x021A5;",
"&marker;"				"&#x025AE;",
"&mcomma;"				"&#x02A29;",
"&mDDot;"				"&#x0223A;",
"&measuredangle;"				"&#x02221;",
"&MediumSpace;"				"&#x0205F;",
"&Mfr;"				"&#x1D510;",
"&mfr;"				"&#x1D52A;",
"&mho;"				"&#x02127;",
"&midcir;"				"&#x02AF0;",
"&minusb;"				"&#x0229F;",
"&minusd;"				"&#x02238;",
"&minusdu;"				"&#x02A2A;",
"&MinusPlus;"				"&#x02213;",
"&mlcp;"				"&#x02ADB;",
"&mnplus;"				"&#x02213;",
"&models;"				"&#x022A7;",
"&mopf;"				"&#x1D55E;",
"&Mopf;"				"&#x1D544;",
"&mp;"				"&#x02213;",
"&mscr;"				"&#x1D4C2;",
"&Mscr;"				"&#x02133;",
"&mstpos;"				"&#x0223E;",
"&multimap;"				"&#x022B8;",
"&mumap;"				"&#x022B8;",
"&nang;"				"&#x02220;&#x00338;",
"&nap;"				"&#x02249;",
"&napE;"				"&#x02A70;&#x00338;",
"&napid;"				"&#x0224B;&#x00338;",
"&napprox;"				"&#x02249;",
"&natur;"				"&#x0266E;",
"&natural;"				"&#x0266E;",
"&nbsp;"				"&#x000A0;",
"&nobreakspace;"				"&#x000A0;",
"&nbump;"				"&#x0224E;&#x00338;",
"&nbumpe;"				"&#x0224F;&#x00338;",
"&ncap;"				"&#x02A43;",
"&ncong;"				"&#x02247;",
"&ncongdot;"				"&#x02A6D;&#x00338;",
"&ncup;"				"&#x02A42;",
"&nearhk;"				"&#x02924;",
"&neArr;"				"&#x021D7;",
"&nearrow;"				"&#x02197;",
"&nedot;"				"&#x02260;&#x0FE00;",
"&NegativeMediumSpace;"				"&#x0205F;&#x0FE00;",
"&NegativeThickSpace;"				"&#x02005;&#x0FE00;",
"&NegativeThinSpace;"				"&#x02009;&#x0FE00;",
"&NegativeVeryThinSpace;"				"&#x0200A;&#x0FE00;",
"&nequiv;"				"&#x02262;",
"&nesear;"				"&#x02928;",
"&nesim;"				"&#x02242;&#x00338;",
"&NestedGreaterGreater;"				"&#x0226B;",
"&NestedLessLess;"				"&#x0226A;",
"&NewLine;"				"&#x0000A;",
"&nexist;"				"&#x02204;",
"&nexists;"				"&#x02204;",
"&Nfr;"				"&#x1D511;",
"&nfr;"				"&#x1D52B;",
"&nge;"				"&#x02271;&#x020E5;",
"&ngeq;"				"&#x02271;",
"&ngeqq;"				"&#x02267;&#x00338;",
"&ngeqslant;"				"&#x02A7E;&#x00338;",
"&nges;"				"&#x02271;",
"&nGg;"				"&#x022D9;&#x00338;",
"&ngsim;"				"&#x02275;",
"&nGt;"				"&#x0226B;&#x00338;",
"&ngtr;"				"&#x0226F;",
"&nGtv;"				"&#x0226B;&#x00338;&#x0FE00;",
"&nharr;"				"&#x021AE;",
"&nhArr;"				"&#x021CE;",
"&nhpar;"				"&#x02AF2;",
"&nis;"				"&#x022FC;",
"&nisd;"				"&#x022FA;",
"&nlArr;"				"&#x021CD;",
"&nlarr;"				"&#x0219A;",
"&nldr;"				"&#x02025;",
"&nle;"				"&#x02270;&#x020E5;",
"&nleftarrow;"				"&#x0219A;",
"&nLeftarrow;"				"&#x021CD;",
"&nLeftrightarrow;"				"&#x021CE;",
"&nleftrightarrow;"				"&#x021AE;",
"&nleq;"				"&#x02270;",
"&nleqq;"				"&#x02266;&#x00338;",
"&nleqslant;"				"&#x02A7D;&#x00338;",
"&nles;"				"&#x02270;",
"&nless;"				"&#x0226E;",
"&nLl;"				"&#x022D8;&#x00338;",
"&nlsim;"				"&#x02274;",
"&nLt;"				"&#x0226A;&#x00338;",
"&nltri;"				"&#x022EA;",
"&nltrie;"				"&#x022EC;",
"&nLtv;"				"&#x0226A;&#x00338;&#x0FE00;",
"&nmid;"				"&#x02224;",
"&NoBreak;"				"&#x0FEFF;",
"&NonBreakingSpace;"				"&#x000A0;",
"&Nopf;"				"&#x02115;",
"&nopf;"				"&#x1D55F;",
"&Not;"				"&#x02AEC;",
"&NotCongruent;"				"&#x02262;",
"&NotCupCap;"				"&#x0226D;",
"&NotDoubleVerticalBar;"				"&#x02226;",
"&NotElement;"				"&#x02209;",
"&NotEqual;"				"&#x02260;",
"&NotEqualTilde;"				"&#x02242;&#x00338;",
"&NotExists;"				"&#x02204;",
"&NotGreater;"				"&#x0226F;",
"&NotGreaterEqual;"				"&#x02271;",
"&NotGreaterFullEqual;"				"&#x02266;&#x00338;",
"&NotGreaterGreater;"				"&#x0226B;&#x00338;",
"&NotGreaterLess;"				"&#x02279;",
"&NotGreaterSlantEqual;"				"&#x02A7E;&#x00338;",
"&NotGreaterTilde;"				"&#x02275;",
"&NotHumpDownHump;"				"&#x0224E;&#x00338;",
"&notin;"				"&#x02209;",
"&notindot;"				"&#x022F6;&#x0FE00;",
"&notinva;"				"&#x02209;&#x00338;",
"&notinvb;"				"&#x022F7;",
"&notinvc;"				"&#x022F6;",
"&NotLeftTriangle;"				"&#x022EA;",
"&NotLeftTriangleBar;"				"&#x029CF;&#x00338;",
"&NotLeftTriangleEqual;"				"&#x022EC;",
"&NotLess;"				"&#x0226E;",
"&NotLessEqual;"				"&#x02270;",
"&NotLessGreater;"				"&#x02278;",
"&NotLessLess;"				"&#x0226A;&#x00338;",
"&NotLessSlantEqual;"				"&#x02A7D;&#x00338;",
"&NotLessTilde;"				"&#x02274;",
"&NotNestedGreaterGreater;"				"&#x024A2;&#x00338;",
"&NotNestedLessLess;"				"&#x024A1;&#x00338;",
"&notni;"				"&#x0220C;",
"&notnivb;"				"&#x022FE;",
"&notnivc;"				"&#x022FD;",
"&NotPrecedes;"				"&#x02280;",
"&NotPrecedesEqual;"				"&#x02AAF;&#x00338;",
"&NotPrecedesSlantEqual;"				"&#x022E0;",
"&NotReverseElement;"				"&#x0220C;",
"&NotRightTriangle;"				"&#x022EB;",
"&NotRightTriangleBar;"				"&#x029D0;&#x00338;",
"&NotRightTriangleEqual;"				"&#x022ED;",
"&NotSquareSubset;"				"&#x0228F;&#x00338;",
"&NotSquareSubsetEqual;"				"&#x022E2;",
"&NotSquareSuperset;"				"&#x02290;&#x00338;",
"&NotSquareSupersetEqual;"				"&#x022E3;",
"&NotSubset;"				"&#x02282;&#x020D2;",
"&NotSubsetEqual;"				"&#x02288;",
"&NotSucceeds;"				"&#x02281;",
"&NotSucceedsEqual;"				"&#x02AB0;&#x00338;",
"&NotSucceedsSlantEqual;"				"&#x022E1;",
